name,category,price_range,estado,texto_recomendacao_limpo
dr. dog park sul,lanches,cheap,df,dr dog park sul lanches cheap df
parmeggio paulínia,brasileira,moderate,sp,parmeggio paulinia brasileira moderate sp
são beneditto pizzaria e restaurante,pizza,cheapest,mg,sao beneditto pizzaria e restaurante pizza cheapest mg
irashai temakeria,japonesa,expensive,sp,irashai temakeria japonesa expensive sp
carlo's burguer,lanches,cheapest,pr,carlo s burguer lanches cheapest pr
bom de trigo,lanches,cheapest,pe,bom de trigo lanches cheapest pe
superburger,lanches,cheapest,rs,superburger lanches cheapest rs
subway paranaguá,lanches,moderate,pr,subway paranagua lanches moderate pr
oggi sorvetes - são conrado,sorvetes,moderate,rj,oggi sorvetes sao conrado sorvetes moderate rj
tapiocaria sensações,saudável,cheap,rj,tapiocaria sensacoes saudavel cheap rj
casamar restaurante e petiscaria,brasileira,cheapest,sc,casamar restaurante e petiscaria brasileira cheapest sc
wal sushi delivery,japonesa,moderate,rj,wal sushi delivery japonesa moderate rj
la casa do natural,lanches,cheapest,rj,la casa do natural lanches cheapest rj
os parças - bebidas & conveniência,bebidas,cheapest,sc,os parcas bebidas conveniencia bebidas cheapest sc
o brazeiro churrascaria e pizzaria,brasileira,most_expensive,rj,o brazeiro churrascaria e pizzaria brasileira most expensive rj
gurias do doce,doces & bolos,cheapest,pr,gurias do doce doces bolos cheapest pr
nicacio bolos e lanches,doces & bolos,cheapest,sp,nicacio bolos e lanches doces bolos cheapest sp
delícias de batata recheada & lanches,lanches,cheapest,sp,delicias de batata recheada lanches lanches cheapest sp
ripito - tortas . quiches . marmitinhas,variada,cheapest,sp,ripito tortas quiches marmitinhas variada cheapest sp
bl foods,lanches,cheapest,sp,bl foods lanches cheapest sp
sheik das coxinhas - penha,salgados,cheapest,rj,sheik das coxinhas penha salgados cheapest rj
caseirinhos doces e salgados,doces & bolos,cheapest,pr,caseirinhos doces e salgados doces bolos cheapest pr
flavinho's lanches,lanches,cheapest,sp,flavinho s lanches lanches cheapest sp
tita doceria gourmet,doces & bolos,cheapest,rj,tita doceria gourmet doces bolos cheapest rj
shawarma tumin,árabe,expensive,sp,shawarma tumin arabe expensive sp
kaya – veggie food!,vegetariana,moderate,sp,kaya veggie food vegetariana moderate sp
gokei rio pequeno,japonesa,cheapest,sp,gokei rio pequeno japonesa cheapest sp
baby beef cristiano machado,carnes,most_expensive,mg,baby beef cristiano machado carnes most expensive mg
império dos lanches,brasileira,cheapest,pe,imperio dos lanches brasileira cheapest pe
kikobala palhoça,doces & bolos,cheapest,sc,kikobala palhoca doces bolos cheapest sc
mr mix são caetano,sorvetes,cheapest,ba,mr mix sao caetano sorvetes cheapest ba
restaurante encanto dos sabores,brasileira,cheapest,am,restaurante encanto dos sabores brasileira cheapest am
kero pizza,pizza,cheap,mg,kero pizza pizza cheap mg
oggi sorvetes - vilar dos teles,sorvetes,cheapest,rj,oggi sorvetes vilar dos teles sorvetes cheapest rj
vivaz bbq,hambúrguer,cheapest,rj,vivaz bbq hamburguer cheapest rj
restaurante recanto do lago,lanches,cheapest,mg,restaurante recanto do lago lanches cheapest mg
recanto dos sabores,brasileira,cheapest,rj,recanto dos sabores brasileira cheapest rj
colonial restaurante,lanches,cheapest,rs,colonial restaurante lanches cheapest rs
casa do norte do paradinha,brasileira,moderate,sp,casa do norte do paradinha brasileira moderate sp
alvarani fabricação de doces e salgados,salgados,expensive,sc,alvarani fabricacao de doces e salgados salgados expensive sc
aspira burguer,lanches,cheapest,rj,aspira burguer lanches cheapest rj
laís,saudável,cheapest,rs,lais saudavel cheapest rs
pizzaria leo e lu,pizza,cheap,sp,pizzaria leo e lu pizza cheap sp
sn lanches,lanches,cheapest,mt,sn lanches lanches cheapest mt
turon's pizzaria,pizza,cheap,rj,turon s pizzaria pizza cheap rj
guinnis,lanches,cheapest,sp,guinnis lanches cheapest sp
pizzaria paraty yakisushi,pizza,cheapest,pb,pizzaria paraty yakisushi pizza cheapest pb
mori ohta sushi - jardins,japonesa,expensive,sp,mori ohta sushi jardins japonesa expensive sp
mona refeições,brasileira,cheapest,rj,mona refeicoes brasileira cheapest rj
tapioca recheada,brasileira,cheapest,mg,tapioca recheada brasileira cheapest mg
café beija-flor,cafeteria,cheapest,am,cafe beija flor cafeteria cheapest am
um doce de maria,doces & bolos,cheapest,sp,um doce de maria doces bolos cheapest sp
pizzaria vêneto,pizza,moderate,sp,pizzaria veneto pizza moderate sp
avenida lanches,lanches,cheapest,mt,avenida lanches lanches cheapest mt
pão de queijo utfpr,lanches,cheapest,pr,pao de queijo utfpr lanches cheapest pr
marcelo lanches,lanches,cheapest,pa,marcelo lanches lanches cheapest pa
adega almeida drinks,bebidas,cheapest,sp,adega almeida drinks bebidas cheapest sp
galinha caipira delivery,brasileira,cheapest,rn,galinha caipira delivery brasileira cheapest rn
adega vr46,bebidas,cheapest,sp,adega vr46 bebidas cheapest sp
b gourmet,lanches,cheapest,rj,b gourmet lanches cheapest rj
morangos&cia,brasileira,cheapest,sp,morangos cia brasileira cheapest sp
doce gelado,açaí,cheapest,pe,doce gelado acai cheapest pe
chef house,carnes,expensive,rj,chef house carnes expensive rj
ilha do sul costelaria e churrascaria,brasileira,cheapest,sp,ilha do sul costelaria e churrascaria brasileira cheapest sp
açaí the best,açaí,cheapest,go,acai the best acai cheapest go
